File Name,Shot Frame Rate,Resolution,Video Codec,Comments,Start TC,End TC,Bit Depth,Camera Type,Camera Format,Camera FPS,Aspect Ratio Notes,Descriptions,Editorial or Commercial Use,
A033_C003_091749_001.R3D,23.976,5120 x 2160,r3d,slow-push-over-coral-reef,16:35:17:07,16:36:29:15,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Camera pushing forward over healthy table corals, Acropora sp., on a healthy coral reef with a variety of damselfish and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A033_C001_09177S_001.R3D,23.976,5120 x 2160,r3d,slow-push-over-healthy-diverse-coral-reef,16:34:18:05,16:35:59:09,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Camera pushing forward over a variety of healthy Acropora sp., corals including table and stag horn varieties. Leather coral and soft corals cover the reef with damsel fish and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A033_C006_0917EY_001.R3D,23.976,5120 x 2160,r3d,slow-push-slomo-over-coral-reef-damselfish,16:39:24:08,16:40:00:21,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A033_C006_0917EY_001.R3D,23.976,5120 x 2160,r3d,slow-push-slomo-to-coral-reef-with-damselfish,16:40:00:20,16:40:25:20,16,DSMC2 GEMINI 5K S35,REDcode 8:1,120,2.37,"Slow motion of camera pushing toward stag horn corals and Xenia corals with a resident group of damselfish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A033_C009_0917ZY_001.R3D,23.976,5120 x 2160,r3d,slow-orbit-slomo-over-coral-reef,16:41:12:07,16:41:56:09,16,DSMC2 GEMINI 5K S35,REDcode 7:1,96,2.37,"Camera pushing forward over a variety of healthy Acropora sp., corals including table and stag horn varieties. Leather coral and soft corals cover the reef with damsel fish, anthers and chromis in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A031_C049_0916A2_001.R3D,23.976,5120 x 2700,r3d,volcanic-activity-underwater-black-sand,16:42:01:02,16:42:13:05,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Wide slow motion shot of volcanic bubbles streaming out of the black sand at Sangeang Island, Sumbawa, Indonesia, Pacific Ocean",Commercial,Premium
A033_C020_09174Q_001.R3D,23.976,5120 x 2700,r3d,big-coral-head-with-seafans,16:51:24:09,16:52:51:14,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Slow motion camera pushing toward a large red seafan with a variety of damselfish and anthias in the water column and large porites coral heads in the background, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Premium
A033_C018_0917MV_001.R3D,23.976,5120 x 2700,r3d,orbit-slomo-coralreef-wide-scene-damselfish,16:48:48:23,16:49:34:10,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Slow motion camera pushing forward and orbiting a healthy shallow hard and soft coral reef with a variety of Acropora and Porites species such as table coral and branching corals along with damselfish and anthias, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C024_091725_001.R3D,23.976,5120 x 2700,r3d,closefocus-widescene-over-acropora-with-fish,16:56:29:23,16:57:23:01,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Slow motion of camera pushing forward and up an over a branching hard coral, Acropora sp, with anthias, damselfish and other tropical fish swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C017_0917IY_001.R3D,23.976,5120 x 2700,r3d,damselfish-coralreef-coralhead-slomo,16:47:42:14,16:49:24:22,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Slow push over a healthy branching coral, Acropora sp., with Porites corals and a variety of damselfish and anthias swimming over the coral, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C015_0917HA_001.R3D,23.976,5120 x 2160,r3d,slomo-damselfish-healthy-corals,16:46:13:08,16:47:28:18,16,DSMC2 GEMINI 5K S35,REDcode 7:1,96,2.37,"Colourful anthias and damselfish swim in the water column above a healthy branching Acropora coral with Porites sp. coral on the left and blue water, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C050_0916PZ_001.R3D,23.976,5120 x 2700,r3d,volcanic-bubble-activity-underwater-black-sand,16:42:16:05,16:43:16:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Slow motion pushing forward over streams of volcanic bubbles rising from the black sand seabed at Sangeang Volcano, Sumbawa, Indonesia, Pacific Ocean",Commercial,
A033_C011_0917NZ_001.R3D,23.976,5120 x 2160,r3d,slow-push-slomo-over-healthy-corals,16:42:24:16,16:43:47:06,16,DSMC2 GEMINI 5K S35,REDcode 7:1,96,2.37,"Slow motion forward push over healthy hard and soft corals in beautiful blue water with a variety of damselfish and surgeonfish in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C051_09160C_001.R3D,23.976,5120 x 2700,r3d,Volcanic-activity-swell-black-sand-underwater,16:43:07:06,16:43:50:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Streams of volcanic bubbles rise from the black sand seafloor of Sangeang island, Sumbawa, Indonesia, Pacific Ocean",Commercial,
A033_C013_09170B_001.R3D,23.976,5120 x 2160,r3d,very-slow-slomo-push-towards-coral-reef,16:45:28:21,16:47:25:06,16,DSMC2 GEMINI 5K S35,REDcode 7:1,96,2.37,"Schools of colourful anthias and damselfish swim above a healthy hard and soft coral reef, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C012_09172P_001.R3D,23.976,5120 x 2160,r3d,slomo-push-towards-coral-reef,16:43:17:03,16:43:43:10,16,DSMC2 GEMINI 5K S35,REDcode 7:1,96,2.37,"Healthy shallow coral reef with a variety of hard and soft corals with schools of damselfish and anthias in the blue water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C022_0917CW_001.R3D,23.976,5120 x 2700,r3d,faster-slomo-swim-over-corals-with-damselfish,16:53:46:21,16:55:28:04,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Pushing forward over a healthy Acropora sp., reef surrounded by soft corals and clouds of tropical fish such as damselfish and anthias, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C021_0917BR_001.R3D,23.976,5120 x 2700,r3d,orbit-coralhead-softcorals-current-slomo,16:51:54:23,16:53:53:08,16,DSMC2 GEMINI 5K S35,REDcode 8:1,96,1.09,"Crane style orbit up and over a rich coral bommie with a red sea fan, colourful soft corals and Acropora sp. branching corals and small tropical fish, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C039_0917BE_001.R3D,23.976,5120 x 2700,r3d,school-fusilliers-left-to-righ-slomo,21:15:49:11,21:16:59:05,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Large school of blue streak fusiliers, Pterocaesio tile, swim in the water column above a coral reef in Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C060_0916XJ_001.R3D,23.976,5120 x 2700,r3d,honeycomb-moray-leopard-overhang-glassy-sweepers,20:07:53:17,20:09:39:15,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A honeycomb moray, Gymnothorax favagineus, looks out from an overhang surrounded by a school of ring-tailed cardinal fish, Ostorhinchus aureus, and other cardinal species, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C053_0916QP_001.R3D,23.976,5120 x 2700,r3d,yellow-ornate-ghostpipefish-algaes-seagrass,23:07:21:23,23:07:53:10,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"An ornate or harlequin ghost pipefish, Solenostomus paradoxus, hangs in the water column above the substrate, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C049_0916MH_001.R3D,23.976,5120 x 2700,r3d,Couple-ornate-ghostpipefish-yellow-reds,23:03:03:19,23:03:44:16,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A pair of ornate or harlequin ghost pipefish, Solenostomus paradoxus, possibly a male and female showing courtship, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Standard
A032_C057_0916GN_001.R3D,23.976,5120 x 2700,r3d,Purple-tipped Costasiella-shawn-the-sheep-nudibranch,23:19:46:05,23:20:11:06,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Purple-tipped Costasiella sp3., also known as rouged cheeks sheep, or Ikea/Swedish sea slug sitting on a stalk of sea grass, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C060_0917B4_001.R3D,23.976,5120 x 2700,r3d,reef-octopus-looking-for-food-coral-rubble,21:53:42:22,22:00:51:02,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C060_0917B4_001.R3D,23.976,5120 x 2700,r3d,Reef-octopus-looking-for-food-coral-rubble,21:53:42:22,22:00:51:02,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C062_0916FQ_001.R3D,23.976,5120 x 2700,r3d,Laced-moray-leopard-overhang-glassy-sweepers-fish,20:10:36:12,20:14:06:23,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A honeycomb moray, Gymnothorax favagineus, lit from the left, looks out from an overhang surrounded by a school of ring-tailed cardinal fish, Ostorhinchus aureus, and other cardinal species, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C058_0916EW_001.R3D,23.976,5120 x 2700,r3d,honeycomb-moray-leopard-overhang-glass-sweeper,20:04:44:15,20:05:10:22,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Camera pushes toward a honeycomb moray, Gymnothorax favagineus, looking out from an overhang surrounded by a school of ring-tailed cardinal fish, Ostorhinchus aureus, and other cardinal species, Komodo National Park, Indonesia, Pacific Ocean",Commercial,Standard
A033_C034_09174F_001.R3D,23.976,5120 x 2700,r3d,school-fusilliers-swimming-diagonally-upward-slomo,21:07:00:01,21:07:44:04,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Tightly packed school of blue streak fusiliers, Pterocaesio tile, move right to left in a tight school in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C041_0917X8_001.R3D,23.976,5120 x 2700,r3d,gang-emperorfish-bluefin-trevally-yellow-goatfish,21:19:27:10,21:19:39:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Mixed school of cooperative hunting predatory fish including blue fin trevally (Caranx melampygus), long nose emperor (Lethrinus olivaceus), and yellow goatfish (Parupeneus cyclostomus), Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C056_0916J9_001.R3D,23.976,5120 x 2700,r3d,garden-eels-black-sand-wide,20:37:50:05,20:39:47:15,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A large colony of garden eels, Heteroconger hassi, sitting high out of their burrows to feed on plankton, Amed, Bali, Indonesia, Pacific Ocean",Commercial,Standard
A031_C059_0916BQ_001.R3D,23.976,5120 x 2700,r3d,moray-leopard-overhang-glass-sweepers,20:06:35:08,20:07:18:08,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A honeycomb moray, Gymnothorax favagineus, looks out from an overhang surrounded by a school of ring-tailed cardinal fish, Ostorhinchus aureus, and other cardinal species, and a lion fish above, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C057_0917D8_001.R3D,23.976,5120 x 2700,r3d,slomo-push-towards-damselfish-acropora-and-fish,21:49:14:14,21:49:48:21,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Camera pushes forward over hard and soft corals with damselfish and chromis swimming in the water column, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C052_0917MG_001.R3D,23.976,5120 x 2700,r3d,push-towards-big-barrel-sponge,21:42:52:07,21:43:30:22,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Forward push toward two different species of giant sponge, the orange Clathria flabellifera in the foreground and the barrel sponge, Xestospongia testudinaria, in the background, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A031_C061_091653_001.R3D,23.976,5120 x 2700,r3d,moray-leopard-overhang-glass-sweepers,20:09:34:15,20:10:24:21,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A honeycomb moray, Gymnothorax favagineus, looks out from an overhang surrounded by a school of ring-tailed cardinal fish, Ostorhinchus aureus, and other cardinal species, and a lion fish above, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C050_0917DX_001.R3D,23.976,5120 x 2700,r3d,smallgroup-yellow-ribbon-sweetlips-and-fish-corals,21:39:19:18,21:40:03:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Parrotfish (Scarus tricolor), sea breams (Monotaxis heterodon), chromis and ribbon sweetlips (Plectorhinchus polytaenia) on a coral reef in Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C054_09165W_001.R3D,23.976,5120 x 2700,r3d,macro-yellow-ornate-ghostpipefish-algaes-seagrass,23:08:00:03,23:08:36:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Close up of the head and fins of an ornate ghost pipefish, Solenostomus paradoxus, hovering over a field of algae, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C061_09176I_001.R3D,23.976,5120 x 2700,r3d,reef-octopus-looking-for-food-coral-rubble-from-above,21:56:36:23,22:00:54:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food using tent or parachute fishing technique in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C052_0916HO_001.R3D,23.976,5120 x 2700,r3d,couple-ornate-ghost-pipefish-yellow-red,23:05:53:20,23:06:40:21,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A pair of ornate or harlequin ghost pipefish, Solenostomus paradoxus, possibly a male and female showing courtship, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C047_0916U8_001.R3D,23.976,5120 x 2700,r3d,couple-ornate-ghostpipefish-yellow-red,23:00:11:22,23:01:17:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A pair of ornate or harlequin ghost pipefish, Solenostomus paradoxus, possibly a male and female showing courtship, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C061_09176I_001.R3D,23.976,5120 x 2700,r3d,reef-octopus-looking-for-food-coral-rubble-from-above,21:56:36:23,22:00:54:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food using tent or parachute fishing technique in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C061_09176I_001.R3D,23.976,5120 x 2700,r3d,reef-octopus-looking-for-food-coral-rubble-from-above,21:56:36:23,22:00:54:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food using tent or parachute fishing technique in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C064_0916KF_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating,23:36:03:17,23:37:25:23,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C066_0916S5_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating-midshot-from-above,23:37:53:10,23:42:29:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C064_0916KF_001.R3D,23.976,5120 x 2700,r3d,Giant-melibe-nudibranch-eats,23:36:03:17,23:37:25:23,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C063_0916ZP_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eat,23:35:28:08,23:36:00:02,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A033_C061_09176I_001.R3D,23.976,5120 x 2700,r3d,reef-octopus-looking-for-food-coral-rubble-from-above,21:56:36:23,22:00:54:18,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A common reef octopus, Octopus cyanea, hunting for food using tent or parachute fishing technique in coral rubble while small groupers and goatfish watch waiting for potential prey to be flushed out, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C048_0916EK_001.R3D,23.976,5120 x 2700,r3d,Couple-ornate-ghostpipefish-yellow-red-swim,23:01:02:20,23:01:58:07,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A pair of ornate or harlequin ghost pipefish, Solenostomus paradoxus, possibly a male and female showing courtship, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C066_0916S5_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating-midshot-from-above,23:37:53:10,23:42:29:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C080_091632_001.R3D,23.976,5120 x 2700,r3d,yellow-thorny-seahorse-macro-closeup,23:55:30:02,23:56:08:02,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Portrait of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C079_09162S_001.R3D,23.976,5120 x 2700,r3d,yellow-thorny-seahorse-macro-mid,23:54:50:13,23:55:23:17,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Close up of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C078_09169V_001.R3D,23.976,5120 x 2700,r3d,yellow-thorny-seahorse-macro-wide,23:54:14:03,23:55:09:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Wider view of a yellow thorny seahorse, Hippocampus histrix, perched on seagrass, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C067_0916P9_001.R3D,23.976,5120 x 2700,r3d,Giant-melibe-nudibranch-eating-five,23:39:53:18,23:43:43:07,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to eat a skeleton shrimp, Caprella sp.,  Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C067_0916P9_001.R3D,23.976,5120 x 2700,r3d,Giant-melibe-nudibranch-eating-five,23:39:53:18,23:43:43:07,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to eat a skeleton shrimp, Caprella sp.,  Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C065_0916MP_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating,23:36:45:20,23:39:08:17,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C072_0916GO_001.R3D,23.976,5120 x 2700,r3d,Macro-mid-clown-frogfish-white-one,23:46:45:19,23:47:38:07,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A juvenile clown or warty frogfish, Antennarius maculatus, walking and using its lure to attract potential prey, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C065_0916MP_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating,23:36:45:20,23:39:08:17,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C066_0916S5_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating-midshot-from-above,23:37:53:10,23:42:29:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C068_091633_001.R3D,23.976,5120 x 2700,r3d,macro-wide-clown-frogfish-white,23:43:30:03,23:43:51:19,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A juvenile clown or warty frogfish, Antennarius maculatus, walking and using its lure to attract potential prey, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C075_0916L0_001.R3D,23.976,5120 x 2700,r3d,purple-flabellina-nudibranch-sideview,23:48:38:06,23:49:59:13,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Beautiful flabellina nudibranch, Coryphellina rubrolineata, crawling on volcanic black sand, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C074_091650_001.R3D,23.976,5120 x 2700,r3d,purple-flabellina-nudibranch,23:48:10:02,23:48:36:10,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Beautiful flabellina nudibranch, Coryphellina rubrolineata, crawling on volcanic black sand, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C076_09162V_001.R3D,23.976,5120 x 2700,r3d,purple-flabellina-nudibranch-front-view,23:49:17:18,23:50:26:10,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"Beautiful flabellina nudibranch, Coryphellina rubrolineata, crawling on volcanic black sand, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C073_0916KG_001.R3D,23.976,5120 x 2700,r3d,Macro-mid-clown-frogfish-white-two,23:47:31:01,23:48:09:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A juvenile clown or warty frogfish, Antennarius maculatus, walking and using its lure to attract potential prey, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C070_0916DT_001.R3D,23.976,5120 x 2700,r3d,macro-mid-clown-frogfish-white,23:45:57:09,23:46:32:11,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A juvenile clown or warty frogfish, Antennarius maculatus, walking and using its lure to attract potential prey, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
A032_C066_0916S5_001.R3D,23.976,5120 x 2700,r3d,giant-melibe-nudibranch-eating-midshot-from-above,23:37:53:10,23:42:29:12,16,DSMC2 GEMINI 5K S35,REDcode 5:1,59.94,1.09,"A Melibe nudibranch, Melibe viridis, using its unique hooded mouth for “hood feeding” as it uses the cirri inside the mouth to sweep for benthic organisms to eat, Komodo National Park, Indonesia, Pacific Ocean",Commercial,
